schema,nome_tabela,qtd_colunas,nome_colunas,dominio,texto
b_prime_abastecimentos,abastecimentos_v3,40,"{valor_bruto,unidade_condutor,unidade,tipo_venda,tipo_veiculo,tipo_frota,temporario,subunidade_condutor,subunidade,simples_nacional,registro,qtde_litro,prefixo_veiculo,preco_unitario_liquido,preco_unitario,posto,placa,origem,opcao_pagamento,negociacao_posto,modelo_veiculo,matricula,marca,km_horimetro,km_horas_rodadas,km_hora_litro,intervalo,hs_diff,horario,estado,endereco_posto,dt_dtca,data,condutor,combustivel,cod_venda,cnpj_posto,cidade_veiculo,cidade,ano_veiculo}",logistica,b prime abastecimentos abastecimentos v3 40 valor bruto unidade condutor unidade tipo venda tipo veiculo tipo frota temporario subunidade condutor subunidade simples nacional registro qtde litro prefixo veiculo preco unitario liquido preco unitario posto placa origem opcao pagamento negociacao posto modelo veiculo matricula marca km horimetro km horas rodadas km hora litro intervalo hs diff horario estado endereco posto dt dtca data condutor combustivel cod venda cnpj posto cidade veiculo cidade ano veiculo
b_sefaz_fiplan,acwta0003,55,"{uo_ds_dotacao_orcamentaria,uo_dotacao_orcamentaria,rsrc,reserva_empenho,reducao_dot_orc_add,reducao_dot_orc,reducao_dot_modal,recurso_orcamentario,numr_conta_corrente,mes_lancamento,ldts,flg_tp_poder,flg_tipo_recurso,flg_tipo_adm,emissao_empenho,ds_unidade_orcamentaria,ds_unidade_gestora,ds_subfuncao,ds_regional,ds_programa_governo,ds_paoe,ds_funcao,dotacao_suplementar_add,dotacao_suplementar_2011,dotacao_suplementar,dotacao_inicial,dotacao_extraordinaria_2011,dotacao_extraordinaria,dotacao_especial_2011,dotacao_especial,dotacao_acrescimo_2011,destaque_recebido,destaque_concedido,despesa_liquidada,credito_remanejamento_2011,credito_remanejamento,credito_empenhado_pago,credito_empenhado_liquidar,credito_empenhado_liquidado,credito_disponivel_2011,credito_disponivel,credito_contingenciamento,contra_partida,codg_dotacao_orcamentaria,cd_unidade_orcamentaria,cd_unidade_gestora,cd_subfuncao,cd_regional,cd_programa_governo,cd_paoe,cd_natureza_despesa,cd_modalidade_aplicacao,cd_funcao,cd_fonte_recurso,cd_exercicio}",financeiro,b sefaz fiplan acwta0003 55 uo ds dotacao orcamentaria uo dotacao orcamentaria rsrc reserva empenho reducao dot orc add reducao dot orc reducao dot modal recurso orcamentario numr conta corrente mes lancamento ldts flg tp poder flg tipo recurso flg tipo adm emissao empenho ds unidade orcamentaria ds unidade gestora ds subfuncao ds regional ds programa governo ds paoe ds funcao dotacao suplementar add dotacao suplementar 2011 dotacao suplementar dotacao inicial dotacao extraordinaria 2011 dotacao extraordinaria dotacao especial 2011 dotacao especial dotacao acrescimo 2011 destaque recebido destaque concedido despesa liquidada credito remanejamento 2011 credito remanejamento credito empenhado pago credito empenhado liquidar credito empenhado liquidado credito disponivel 2011 credito disponivel credito contingenciamento contra partida codg dotacao orcamentaria cd unidade orcamentaria cd unidade gestora cd subfuncao cd regional cd programa governo cd paoe cd natureza despesa cd modalidade aplicacao cd funcao cd fonte recurso cd exercicio
b_sefaz_fiplan,acwtb0010,16,"{rsrc,nome_modalidade,ldts,iden_versao,iden_modalidade_licitacao,flag_situacao,flag_pregao,flag_licitacao,flag_isencao,flag_fundamento_legal,flag_contrato,flag_base_legal,data_cadastro,data_atualizacao,codg_modalidade_licitacao,cd_exercicio}",financeiro,b sefaz fiplan acwtb0010 16 rsrc nome modalidade ldts iden versao iden modalidade licitacao flag situacao flag pregao flag licitacao flag isencao flag fundamento legal flag contrato flag base legal data cadastro data atualizacao codg modalidade licitacao cd exercicio
b_sefaz_fiplan,acwtb0024,20,"{rsrc,ramo_atividade,nome_raz_social,ldts,iden_versao,iden_credor,iden_categoria_credor,id_usuario,hist_categoria_credor,flag_tipo_credor,flag_situacao,flag_mandado_judicial,flag_liberacao_qsa,flag_fisco_estadual,flag_fatura_cheque,flag_consignacao_folha,flag_aprovacao_sefaz,data_cadastro,data_atualizacao,cpf_cnpj}",financeiro,b sefaz fiplan acwtb0024 20 rsrc ramo atividade nome raz social ldts iden versao iden credor iden categoria credor id usuario hist categoria credor flag tipo credor flag situacao flag mandado judicial flag liberacao qsa flag fisco estadual flag fatura cheque flag consignacao folha flag aprovacao sefaz data cadastro data atualizacao cpf cnpj
b_sefaz_fiplan,acwtb0025,17,"{rsrc,ldts,iden_versao,iden_pessoa_juridica,iden_credor_pessoa_juridica,iden_credor,id_unidade_gestora,flag_tipo_consignataria,flag_restricao_uso,flag_pensao_alimenticia,flag_participacao_orcamento,flag_nivel_relacionamento,flag_credor_uo,flag_consignataria,flag_cheque_devolvido,data_cadastro,data_atualizacao}",financeiro,b sefaz fiplan acwtb0025 17 rsrc ldts iden versao iden pessoa juridica iden credor pessoa juridica iden credor id unidade gestora flag tipo consignataria flag restricao uso flag pensao alimenticia flag participacao orcamento flag nivel relacionamento flag credor uo flag consignataria flag cheque devolvido data cadastro data atualizacao
b_sefaz_fiplan,acwtb0027,56,"{valr_ped,sigla_processo_sigadoc,saldo_orcamentario_anterior,rsrc,numr_protocolo,numr_processo_siag,numr_processo,numr_ped,numr_os,numr_licitacao,numr_emenda_parlamentar,numr_cac,mes_folha_pagto,ldts,justif_desp_sem_cobert_contrat,iden_versao,iden_transacao_contabil,iden_pad_natureza_despesa,iden_ordenador_despesa_ug,iden_modalidade_licitacao,iden_credor_lista,iden_credor,iden_amparo_legal,iden_abj_natureza,id_usuario,id_elemento_despesa,id_dotacao_orcamentaria,historico_ped,flag_tipo_recurso_orcamentario,flag_tipo_obrig_patronal,flag_tipo_empenho,flag_tipo_despesa,flag_situacao,flag_obrig_patronal,flag_licitacao_exercicio_ant,flag_licitacao_adesao_siag,flag_fisco_estadual,flag_entr_imed_l8666_93_a62_i4,flag_convenio,flag_contrato,flag_base_legal,especie_documento_sigadoc,data_ped,data_licitacao,data_cadastro_autorizacao,data_cadastro,data_autorizacao,data_atualizacao,codg_modalidade_licitacao,cd_exercicio_protocolo,cd_exercicio_processo,cd_exercicio_folha_pagto,cd_exercicio,autor_emenda_parlamentar,ano_licitacao,ano_emenda_parlamentar}",financeiro,b sefaz fiplan acwtb0027 56 valr ped sigla processo sigadoc saldo orcamentario anterior rsrc numr protocolo numr processo siag numr processo numr ped numr os numr licitacao numr emenda parlamentar numr cac mes folha pagto ldts justif desp sem cobert contrat iden versao iden transacao contabil iden pad natureza despesa iden ordenador despesa ug iden modalidade licitacao iden credor lista iden credor iden amparo legal iden abj natureza id usuario id elemento despesa id dotacao orcamentaria historico ped flag tipo recurso orcamentario flag tipo obrig patronal flag tipo empenho flag tipo despesa flag situacao flag obrig patronal flag licitacao exercicio ant flag licitacao adesao siag flag fisco estadual flag entr imed l8666 93 a62 i4 flag convenio flag contrato flag base legal especie documento sigadoc data ped data licitacao data cadastro autorizacao data cadastro data autorizacao data atualizacao codg modalidade licitacao cd exercicio protocolo cd exercicio processo cd exercicio folha pagto cd exercicio autor emenda parlamentar ano licitacao ano emenda parlamentar
b_sefaz_fiplan,acwtb0030,29,"{rsrc,numr_pad,numr_cartao_pag_governo,numr_adiantamento_sicad,ldts,iden_versao,iden_transacao_contabil,iden_subtipo_despesa,iden_ordenador_despesa_ug,iden_gerente_responsavel,iden_credor_lista,iden_credor,iden_amparo_legal,id_usuario,id_unidade_gestora,historico_pad,flag_tipo_adiantamento,flag_situacao,flag_cad_integrada,flag_base_legal,data_pad,data_limite_prestacao_contas,data_limite_aplicacao_recurso,data_cancelamento,data_cadastro,data_autorizacao,data_atualizacao,data_aprovacao,cd_exercicio}",financeiro,b sefaz fiplan acwtb0030 29 rsrc numr pad numr cartao pag governo numr adiantamento sicad ldts iden versao iden transacao contabil iden subtipo despesa iden ordenador despesa ug iden gerente responsavel iden credor lista iden credor iden amparo legal id usuario id unidade gestora historico pad flag tipo adiantamento flag situacao flag cad integrada flag base legal data pad data limite prestacao contas data limite aplicacao recurso data cancelamento data cadastro data autorizacao data atualizacao data aprovacao cd exercicio
b_sefaz_fiplan,acwtb0046,9,"{rsrc,ldts,iden_versao,iden_conta_bancaria_uo,iden_conta_bancaria_ug,id_unidade_gestora,flag_situacao,data_cadastro,data_atualizacao}",financeiro,b sefaz fiplan acwtb0046 9 rsrc ldts iden versao iden conta bancaria uo iden conta bancaria ug id unidade gestora flag situacao data cadastro data atualizacao
b_sefaz_fiplan,acwtb0050,11,"{valr_adiantamento,rsrc,numr_pad,numr_bad,ldts,iden_versao,iden_pad_natureza_despesa,id_natureza_despesa,flag_prestacao_contas,data_cadastro,data_atualizacao}",financeiro,b sefaz fiplan acwtb0050 11 valr adiantamento rsrc numr pad numr bad ldts iden versao iden pad natureza despesa id natureza despesa flag prestacao contas data cadastro data atualizacao
b_sefaz_fiplan,acwtb0070,16,"{rsrc,nome_vo,nome_objeto,nome_ded,ldts,iden_objeto,flag_trigger_enable,flag_trigger,flag_tipo_objeto,flag_situacao,desc_resumida,desc_objeto,data_trigger_enable,data_cadastro,data_atualizacao,autor_objeto}",financeiro,b sefaz fiplan acwtb0070 16 rsrc nome vo nome objeto nome ded ldts iden objeto flag trigger enable flag trigger flag tipo objeto flag situacao desc resumida desc objeto data trigger enable data cadastro data atualizacao autor objeto
b_sefaz_fiplan,acwtb0091,10,"{valr_liq_subelemento,rsrc,percentual_ref,numr_liq,ldts,iden_versao,iden_liq_subelemento,id_subelemento_despesa,data_cadastro,data_atualizacao}",financeiro,b sefaz fiplan acwtb0091 10 valr liq subelemento rsrc percentual ref numr liq ldts iden versao iden liq subelemento id subelemento despesa data cadastro data atualizacao
b_sefaz_fiplan,acwtb0107,32,"{valr_emp,uuid_emp_saff,rsrc,numr_rpv,numr_ped,numr_ope,numr_licitacao,numr_emp,numr_convenio,ldts,iden_versao,iden_transacao_contabil,iden_ordenador_despesa_ug,iden_finalidade,iden_credor,iden_contrato,iden_conta_bancaria,id_usuario,id_fonte_recurso,historico_emp,flag_transf_restos_pagar,flag_situacao,flag_rpv_vencidos,flag_irp,flag_despesas_processamento,exercicio_rp,data_emp,data_cadastro,data_atualizacao,cd_exercicio_rpv,cd_exercicio,ano_licitacao}",financeiro,b sefaz fiplan acwtb0107 32 valr emp uuid emp saff rsrc numr rpv numr ped numr ope numr licitacao numr emp numr convenio ldts iden versao iden transacao contabil iden ordenador despesa ug iden finalidade iden credor iden contrato iden conta bancaria id usuario id fonte recurso historico emp flag transf restos pagar flag situacao flag rpv vencidos flag irp flag despesas processamento exercicio rp data emp data cadastro data atualizacao cd exercicio rpv cd exercicio ano licitacao
b_sefaz_fiplan,acwtb0109,62,"{valr_nob,uuid_nob_saff,tipo_ob,saldo_contabilizado,rsrc,qtd_dias_eficiencia,observacao_retorno_cpg,observacao,numr_sequencial_portador,numr_relacao_pagamento,numr_pac,numr_obf,numr_nob,numr_conta_corrente_nota_mt,numr_conta_cad,numr_arquivo_retorno_cpg,numr_arquivo_retorno,numr_arquivo_lote_cpg,numr_arquivo_lote,ldts,identif_depju,iden_versao,iden_transacao_contabil,iden_subconta_ug,iden_pagamento_liq,iden_conta_corrente_credor,iden_conta_bancaria_uo_tf,iden_conta_bancaria_ug,iden_agencia_bancaria_nota_mt,iden_agencia_bancaria_cad,id_usuario_autoriz_nob_bb,id_usuario,historico_nob,historico_autoriza_estorno_nob,flag_transmissao_eletronica,flag_transmissao,flag_tipo_transmissao,flag_situacao,flag_sit_transmissao_cpg,flag_regularizacao_pagamento,flag_re_contabilizada,flag_nob_fatura_fato54,flag_nivel_eficiencia,flag_forma_recebimento,flag_depju,flag_autoriz_estorno_nob_bb,dv_conta_cad,dv_cc_nota_mt,data_retorno_cpg,data_retorno,data_ocorrencia_cpg,data_ocorrencia,data_nob,data_debito,data_credito,data_cadastro,data_autoriz_estorno_nob_bb,data_atualizacao,codg_retorno_cpg,codg_retorno_cnab,codg_retorno,cd_exercicio}",financeiro,b sefaz fiplan acwtb0109 62 valr nob uuid nob saff tipo ob saldo contabilizado rsrc qtd dias eficiencia observacao retorno cpg observacao numr sequencial portador numr relacao pagamento numr pac numr obf numr nob numr conta corrente nota mt numr conta cad numr arquivo retorno cpg numr arquivo retorno numr arquivo lote cpg numr arquivo lote ldts identif depju iden versao iden transacao contabil iden subconta ug iden pagamento liq iden conta corrente credor iden conta bancaria uo tf iden conta bancaria ug iden agencia bancaria nota mt iden agencia bancaria cad id usuario autoriz nob bb id usuario historico nob historico autoriza estorno nob flag transmissao eletronica flag transmissao flag tipo transmissao flag situacao flag sit transmissao cpg flag regularizacao pagamento flag re contabilizada flag nob fatura fato54 flag nivel eficiencia flag forma recebimento flag depju flag autoriz estorno nob bb dv conta cad dv cc nota mt data retorno cpg data retorno data ocorrencia cpg data ocorrencia data nob data debito data credito data cadastro data autoriz estorno nob bb data atualizacao codg retorno cpg codg retorno cnab codg retorno cd exercicio
b_sefaz_fiplan,acwtb0110,65,"{valr_total_consignacoes,valr_saldo_liquidar,valr_saldo_empenhado_liquidaca,valr_liq,valr_limite_prestacao_contas,valr_credor_principal,valr_cpmf,tipo_medicao_gfo,sigla_processo_sigadoc,rsrc,qtd_dias_eficiencia,periodo_comp_despesa,numr_sumula_condes,numr_rip,numr_processo_judicial,numr_processo_financ_pagto,numr_processo,numr_os,numr_medicao,numr_liq,numr_emp,numr_contrato_ant,numr_contrato,numero_medicao_despesa_gfo,ldts,justificativa_inef,iden_versao,iden_transacao_contabil,iden_tipo_medicao,iden_ordenador_despesa_ug,id_usuario_lib_sace,id_usuario_lib_inef,id_usuario_autoriz_liq,id_usuario,id_elemento_despesa,historico_liq,historico_complementar_liq,flag_tipo_registro_sorteio,flag_situacao,flag_sit_ordem_cronologica,flag_prestador_pfpj,flag_parcelada,flag_nivel_eficiencia,flag_liquidacao_integrada_seap,flag_liquidacao_escritural,flag_liquidacao_consignacoes,flag_liq_doc_fiscal,flag_forma_pagamento,flag_detalhamento_despesa_ele,flag_cat_ordem_cronologica,flag_bloqueio_ineficiencia,flag_autoriz_estorno_liq,flag_aut_lib_inef,especie_documento_sigadoc,data_liq,data_cadastro,data_autoriz_estorno_liq,data_aut_lib_sace,data_aut_lib_inef,data_atualizacao,codigo_vinculacao_gfo,cd_exercicio_processo,cd_exercicio,cd_exerc_proc_financ_pagto,ano_contrato_obra}",financeiro,b sefaz fiplan acwtb0110 65 valr total consignacoes valr saldo liquidar valr saldo empenhado liquidaca valr liq valr limite prestacao contas valr credor principal valr cpmf tipo medicao gfo sigla processo sigadoc rsrc qtd dias eficiencia periodo comp despesa numr sumula condes numr rip numr processo judicial numr processo financ pagto numr processo numr os numr medicao numr liq numr emp numr contrato ant numr contrato numero medicao despesa gfo ldts justificativa inef iden versao iden transacao contabil iden tipo medicao iden ordenador despesa ug id usuario lib sace id usuario lib inef id usuario autoriz liq id usuario id elemento despesa historico liq historico complementar liq flag tipo registro sorteio flag situacao flag sit ordem cronologica flag prestador pfpj flag parcelada flag nivel eficiencia flag liquidacao integrada seap flag liquidacao escritural flag liquidacao consignacoes flag liq doc fiscal flag forma pagamento flag detalhamento despesa ele flag cat ordem cronologica flag bloqueio ineficiencia flag autoriz estorno liq flag aut lib inef especie documento sigadoc data liq data cadastro data autoriz estorno liq data aut lib sace data aut lib inef data atualizacao codigo vinculacao gfo cd exercicio processo cd exercicio cd exerc proc financ pagto ano contrato obra
b_sefaz_fiplan,acwtb0111,75,"{valr_rubrica_normal,valr_rubrica_diferenca,valr_rubrica_devolucao,valr_receita_bruta,valr_pagamento,valr_outras_entidades,valr_original,valr_multa,valr_juros,valr_documento,valr_desconto,ug_gru,rsrc,periodo_apuracao,percentual_receita_bruta,numr_referencia,numr_nex,numr_liq,numr_conta_corrente_nota_mt,numr_conta_cad,numr_autenticacao,nome_contribuinte,mes_competencia,ldts,identif_depju,iden_versao,iden_tributo_federal,iden_subconta_ug,iden_pred_ordem_cron_ori,iden_pred_ordem_cron,iden_parcelamento_liq_origem,iden_pagamento_liq_origem,iden_pagamento_liq,iden_liberador_ordenador_ug,iden_info_arquivo,iden_finalidade,iden_credor_nota_mt,iden_credor,iden_conta_corrente_credor,iden_conta_bancaria_ug,iden_conta_bancaria_tf,iden_chave_parcelamento,iden_chave_exclusao,iden_agencia_bancaria_nota_mt,iden_agencia_bancaria_cad,id_usuario_lib_sefaz,id_usuario,gestao_gru,flag_transmissao,flag_tipo_pagamento,flag_tipo_fatura,flag_tipo_contribuinte,flag_tipo_conta,flag_tipo_cancelamento,flag_subtipo_fatura,flag_situacao_pagamento_liquid,flag_regularizacao_pagamento,flag_pagto_estrategico,flag_liberacao_sefaz,flag_forma_recebimento,flag_depju,flag_compensacao,exercicio_competencia,dv_conta_cad,dv_cc_nota_mt,data_vencimento_fatura,data_vencimento,data_liberacao_sefaz,data_liberacao,data_cadastro,data_atualizacao,codg_qrcode_pix,codg_contribuinte,codg_barra,cd_exercicio}",financeiro,b sefaz fiplan acwtb0111 75 valr rubrica normal valr rubrica diferenca valr rubrica devolucao valr receita bruta valr pagamento valr outras entidades valr original valr multa valr juros valr documento valr desconto ug gru rsrc periodo apuracao percentual receita bruta numr referencia numr nex numr liq numr conta corrente nota mt numr conta cad numr autenticacao nome contribuinte mes competencia ldts identif depju iden versao iden tributo federal iden subconta ug iden pred ordem cron ori iden pred ordem cron iden parcelamento liq origem iden pagamento liq origem iden pagamento liq iden liberador ordenador ug iden info arquivo iden finalidade iden credor nota mt iden credor iden conta corrente credor iden conta bancaria ug iden conta bancaria tf iden chave parcelamento iden chave exclusao iden agencia bancaria nota mt iden agencia bancaria cad id usuario lib sefaz id usuario gestao gru flag transmissao flag tipo pagamento flag tipo fatura flag tipo contribuinte flag tipo conta flag tipo cancelamento flag subtipo fatura flag situacao pagamento liquid flag regularizacao pagamento flag pagto estrategico flag liberacao sefaz flag forma recebimento flag depju flag compensacao exercicio competencia dv conta cad dv cc nota mt data vencimento fatura data vencimento data liberacao sefaz data liberacao data cadastro data atualizacao codg qrcode pix codg contribuinte codg barra cd exercicio
b_sefaz_fiplan,acwtb0261,37,"{valr_os,rsrc,resultados_obtidos,qtde_diarias,numr_os_gv,numr_os,numr_documento,numr_conta_corrente,motivo,metas_previstas,localidade,ldts,iden_versao,iden_credor,id_usuario_prest_contas,id_usuario,id_unidade_orcamentaria_do,id_unidade_gestora,id_programa_governo,id_paoe,id_fonte_recurso,id_elemento_despesa,flag_tipo_motorista,flag_status,flag_situacao_gcv,flag_situacao,flag_desconto_folha,dv_conta_corrente,data_retorno_viagem,data_prestacao_contas,data_inicio_viagem,data_cadastro,data_atualizacao,cpf_ordenador_despesa,codg_banco,codg_agencia_bancaria,cd_exercicio}",financeiro,b sefaz fiplan acwtb0261 37 valr os rsrc resultados obtidos qtde diarias numr os gv numr os numr documento numr conta corrente motivo metas previstas localidade ldts iden versao iden credor id usuario prest contas id usuario id unidade orcamentaria do id unidade gestora id programa governo id paoe id fonte recurso id elemento despesa flag tipo motorista flag status flag situacao gcv flag situacao flag desconto folha dv conta corrente data retorno viagem data prestacao contas data inicio viagem data cadastro data atualizacao cpf ordenador despesa codg banco codg agencia bancaria cd exercicio
b_sefaz_fiplan,acwtb0274,11,"{setor,rsrc,orgao_seap,ldts,iden_versao,iden_equivalencia_uo_seap,id_unidade_orcamentaria,flag_folha_especial,data_cadastro,data_atualizacao,cd_exercicio}",financeiro,b sefaz fiplan acwtb0274 11 setor rsrc orgao seap ldts iden versao iden equivalencia uo seap id unidade orcamentaria flag folha especial data cadastro data atualizacao cd exercicio
b_sefaz_fiplan,acwtb0550,11,"{rsrc,ldts,iden_versao,iden_pacote_despesa,id_usuario_inclusao,ds_sigla_pacote,ds_pacote_despesa,data_cadastro,data_atualizacao,cd_pacote_despesa,cd_exercicio}",financeiro,b sefaz fiplan acwtb0550 11 rsrc ldts iden versao iden pacote despesa id usuario inclusao ds sigla pacote ds pacote despesa data cadastro data atualizacao cd pacote despesa cd exercicio
