texto,dominio
b cge sci view recomendacao 17 situacao idrecomendacao descsubsistema descpontocontrole dataelaboracao datarecebimento situacaoprovidencia registroretroativo prazo idunidadeorcamentariasci descricao idpontocontrole idsubsistema retroativo count orig dtca,normas
b cge ziglockhoteldb ev evento catraca 5 id cpf nome evento hora,pessoas
b cge ziglockhoteldb re registro eventos 8 cpf nome data nome cargo nome setor excluido tempo total segundos tempo total segundos previsto,pessoas
b cge ziglockhoteldb tem tempo presenca 8 cpf nome nome cargo nome setor excluido data tempo total segundos tempo total segundos previsto,pessoas
b cge ziglockhoteldb teste codigo 4 days data temp nome data,pessoas
b cge ziglockhoteldb vis visitantes pessoas 12 id cpf nome rg telefone email cartao cartaoantigo cartaoauxiliar excluido usuario pa tranca bloqueio,pessoas
b detran detrannet gen enderecos 18 idendereco idpessoa idprocesso idcep numero complemento telefone titularidade tipologradouro logradouro bairro cep idcidadepaisendereco datainclusao usuarioinclusao idsessao orig dtca,logistica
b detran detrannet rev combustivel 12 idmarca descricao ipvafaixa ipvaoperador ipvadata idtipoveiculo idespecie datainclusao usuarioinclusao idsessao orig dtca,logistica
b detran detrannet rev cor 7 idcor descricao datainclusao usuarioinclusao idsessao orig dtca,logistica
b detran detrannet rev marca 12 idmarca descricao ipvafaixa ipvaoperador ipvadata idtipoveiculo idespecie datainclusao usuarioinclusao idsessao orig dtca,logistica
b detran detrannet rev tipoveiculo 12 idtipoveiculo descricao descricaoabreviada codigoservicotaxaplaca codigoservicoapreensao codigoservicoreboque placapequena datainclusao usuarioinclusao idsessao orig dtca,logistica
b detran detrannet rev veiculo 80 sequencia chassi idcidadepais idsessao renavam idcategoria idcombustivel placa idtipocarroceria idcor terminacao idtipoveiculo idespecie idmarca identmotor identcaixa identeixotraseiro identeixoauxiliar identcarroceria anofabricacao anomodelo nacional cilindrada potencia capacidadepassageiros capacidadecarga quantidadeeixos cmt pbt rtb databaixa motivobaixa ufbaixa idcidadeufbaixa observacao remarcacao datainclusao usuarioinclusao idpessoaproprietario idpessoaalienacao tipoalienacao dataalienacao dataaquisicao placaanterior ufanterior idcidadepaisanterior idpessoaproprietarioanterior idpaisbaixa idprocessoinicial idprocessoatualizacao numerocrv tipocrv controlecrv dataemissaocrv usuarioemissaocrv lotelicenciamento exerciciolicenciamento vialicenciamento controlelicenciamento datalicenciamento usuariolicenciamento indicadorsituacao idendereco nomeproprietario nomealienacao nomeproprietarioanterior pendentelacre numerolacre justificativa placadianteira tarjetadianteira placatraseira tarjetatraseira placatraseiraextra tarjetatraseiraextra placamercosul hodometro datamedicaohodometro orig dtca,logistica
b lportalmt cge anexo 12 anexoid groupid companyid userid username modifieddate entidadedonaid anexo contenttype filename orig dtca,normas
b lportalmt cge assuntopergunta 10 assuntoid groupid companyid userid username modifieddate descricao status orig dtca,normas
b lportalmt cge empresassuspensas 27 empresasuspensaid groupid companyid userid username modifieddate tipopessoaempresa cpfcnpj nome uf processo complemento publicacao dispositivolegal observacao prazo prazounidade datatran datainicio datafim orgao uforgao fonte datapublicacao sancaoid orig dtca,normas
b lportalmt cge legislacao 20 legislacaoid groupid companyid userid username modifieddate normaid sistemaid subsistemaid numerolegislacao datapublicacaodiariooficial assunto ementa texto observacoes anexo contenttype filename orig dtca,normas
b lportalmt cge norma 9 normaid groupid companyid userid username modifieddate nome orig dtca,normas
b lportalmt cge novo anexo 12 anexoid groupid companyid userid username modifieddate entidadedonaid anexo contenttype filename orig dtca,normas
b lportalmt cge novo assuntopergunta 10 assuntoid groupid companyid userid username modifieddate descricao status orig dtca,normas
b lportalmt cge novo empresassuspensas 27 empresasuspensaid groupid companyid userid username modifieddate tipopessoaempresa cpfcnpj nome uf processo complemento publicacao dispositivolegal observacao prazo prazounidade datatran datainicio datafim orgao uforgao fonte datapublicacao sancaoid orig dtca,normas
b lportalmt cge novo legislacao 20 legislacaoid groupid companyid userid username modifieddate normaid sistemaid subsistemaid numerolegislacao datapublicacaodiariooficial assunto ementa texto observacoes anexo contenttype filename orig dtca,normas
b lportalmt cge novo norma 9 normaid groupid companyid userid username modifieddate nome orig dtca,normas
b lportalmt cge novo orgao 10 orgaoid groupid companyid userid username modifieddate nome status orig dtca,normas
b lportalmt cge novo orientacaotecnica 12 orientacaotecnicaid groupid companyid userid username modifieddate numero data titulo resumo orig dtca,normas
b lportalmt cge novo perguntas 26 perguntaid groupid companyid userid username modifieddate createddate esfera orgaoid orgao assuntoid usuarioid usuariorespondeuperguntaid usuarioleuperguntaid datacadastro databaixapergunta nomepergunta emailpergunta telefonepergunta pergunta ultimaresposta status statusemailrespondido statuslido orig dtca,normas
b lportalmt cge novo perguntasfrequentes 12 perguntafrequentesid groupid companyid userid username modifieddate pergunta resposta assuntoid status orig dtca,normas
b lportalmt cge novo respostas 12 respostaid groupid companyid userid username modifieddate createddate perguntaid mensagem status orig dtca,normas
b lportalmt cge novo sancao 10 sancaoid groupid companyid userid username modifieddate descricao complemento orig dtca,normas
b lportalmt cge novo sistema 9 sistemaid groupid companyid userid username modifieddate nome orig dtca,normas
b lportalmt cge novo subsistema 10 subsistemaid groupid companyid userid username modifieddate nome sistemaid orig dtca,normas
b lportalmt cge orgao 10 orgaoid groupid companyid userid username modifieddate nome status orig dtca,normas
b lportalmt cge orientacaotecnica 15 orientacaotecnicaid groupid companyid userid username modifieddate numero data titulo resumo anexo contenttype filename orig dtca,normas
b lportalmt cge perguntas 26 perguntaid groupid companyid userid username modifieddate createddate esfera orgaoid orgao assuntoid usuarioid usuariorespondeuperguntaid usuarioleuperguntaid datacadastro databaixapergunta nomepergunta emailpergunta telefonepergunta pergunta status statusemailrespondido statuslido ultimaresposta orig dtca,normas
b lportalmt cge perguntasfrequentes 12 perguntafrequentesid groupid companyid userid username modifieddate pergunta resposta assuntoid status orig dtca,normas
b lportalmt cge respostas 12 respostaid groupid companyid userid username modifieddate createddate perguntaid status mensagem orig dtca,normas
b lportalmt cge sancao 10 sancaoid groupid companyid userid username modifieddate descricao complemento orig dtca,normas
b lportalmt cge sistema 9 sistemaid groupid companyid userid username modifieddate nome orig dtca,normas
b lportalmt cge subsistema 10 subsistemaid groupid companyid userid username modifieddate nome sistemaid orig dtca,normas
b mti lportalmt cge anexo 12 anexoid groupid companyid userid username modifieddate entidadedonaid anexo contenttype filename orig dtca,normas
b mti lportalmt cge assuntopergunta 10 assuntoid groupid companyid userid username modifieddate descricao status orig dtca,normas
b mti lportalmt cge empresassuspensas 27 empresasuspensaid groupid companyid userid username modifieddate tipopessoaempresa cpfcnpj nome uf processo complemento publicacao dispositivolegal observacao prazo prazounidade datatran datainicio datafim orgao uforgao fonte datapublicacao sancaoid orig dtca,normas
b mti lportalmt cge legislacao 20 legislacaoid groupid companyid userid username modifieddate normaid sistemaid subsistemaid numerolegislacao datapublicacaodiariooficial assunto ementa texto observacoes anexo contenttype filename orig dtca,normas
b mti lportalmt cge norma 9 normaid groupid companyid userid username modifieddate nome orig dtca,normas
b mti lportalmt cge novo anexo 12 anexoid groupid companyid userid username modifieddate entidadedonaid anexo contenttype filename orig dtca,normas
b mti lportalmt cge novo assuntopergunta 10 assuntoid groupid companyid userid username modifieddate descricao status orig dtca,normas
b mti lportalmt cge novo empresassuspensas 27 empresasuspensaid groupid companyid userid username modifieddate tipopessoaempresa cpfcnpj nome uf processo complemento publicacao dispositivolegal observacao prazo prazounidade datatran datainicio datafim orgao uforgao fonte datapublicacao sancaoid orig dtca,normas
b mti lportalmt cge novo legislacao 20 legislacaoid groupid companyid userid username modifieddate normaid sistemaid subsistemaid numerolegislacao datapublicacaodiariooficial assunto ementa texto observacoes anexo contenttype filename orig dtca,normas
b mti lportalmt cge novo norma 9 normaid groupid companyid userid username modifieddate nome orig dtca,normas
b mti lportalmt cge novo orgao 10 orgaoid groupid companyid userid username modifieddate nome status orig dtca,normas
b mti lportalmt cge novo orientacaotecnica 12 orientacaotecnicaid groupid companyid userid username modifieddate numero data titulo resumo orig dtca,normas
b mti lportalmt cge novo perguntas 26 perguntaid groupid companyid userid username modifieddate createddate esfera orgaoid orgao assuntoid usuarioid usuariorespondeuperguntaid usuarioleuperguntaid datacadastro databaixapergunta nomepergunta emailpergunta telefonepergunta pergunta ultimaresposta status statusemailrespondido statuslido orig dtca,normas
b mti lportalmt cge novo perguntasfrequentes 12 perguntafrequentesid groupid companyid userid username modifieddate pergunta resposta assuntoid status orig dtca,normas
b mti lportalmt cge novo respostas 12 respostaid groupid companyid userid username modifieddate createddate perguntaid mensagem status orig dtca,normas
b mti lportalmt cge novo sancao 10 sancaoid groupid companyid userid username modifieddate descricao complemento orig dtca,normas
b mti lportalmt cge novo sistema 9 sistemaid groupid companyid userid username modifieddate nome orig dtca,normas
b mti lportalmt cge novo subsistema 10 subsistemaid groupid companyid userid username modifieddate nome sistemaid orig dtca,normas
b mti lportalmt cge orgao 10 orgaoid groupid companyid userid username modifieddate nome status orig dtca,normas
b mti lportalmt cge orientacaotecnica 15 orientacaotecnicaid groupid companyid userid username modifieddate numero data titulo resumo anexo contenttype filename orig dtca,normas
b mti lportalmt cge perguntas 26 perguntaid groupid companyid userid username modifieddate createddate esfera orgaoid orgao assuntoid usuarioid usuariorespondeuperguntaid usuarioleuperguntaid datacadastro databaixapergunta nomepergunta emailpergunta telefonepergunta pergunta status statusemailrespondido statuslido ultimaresposta orig dtca,normas
b mti lportalmt cge perguntasfrequentes 12 perguntafrequentesid groupid companyid userid username modifieddate pergunta resposta assuntoid status orig dtca,normas
b mti lportalmt cge respostas 12 respostaid groupid companyid userid username modifieddate createddate perguntaid status mensagem orig dtca,normas
b mti lportalmt cge sancao 10 sancaoid groupid companyid userid username modifieddate descricao complemento orig dtca,normas
b mti lportalmt cge sistema 9 sistemaid groupid companyid userid username modifieddate nome orig dtca,normas
b mti lportalmt cge subsistema 10 subsistemaid groupid companyid userid username modifieddate nome sistemaid orig dtca,normas
b prime abastecimentos abastecimentos 49 posto posto razao endereco estado cod cliente cod terminal latitude longitude cnpj data hora kmatual kmanterior data atualizacao km combustivel valor numerocartao valorlitro quantidadelitros tipo servico codabastecimento status ultimaobservacaoabastecimento placa prefixo modelo baseveiculo centrodecustoveiculo marca renavam ano veiculo capacidade tanque nome cidade motorizacao cor chassi kmhoraporlitro kmhorarodado tipofrota condutor registrocondutor cnhcondutor cpfcondutor centrodecustocondutor matricula condutor nomeservico codigo cliente origem dt dtca,logistica
b prime abastecimentos abastecimentos consolidado 39 cod venda data horario prefixo veiculo placa unidade subunidade combustivel condutor matricula registro posto estado endereco posto cidade tipo frota marca modelo veiculo tipo veiculo ano veiculo cidade veiculo cnpj posto temporario km horimetro qtde litro preco unitario negociacao posto valor bruto preco unitario liquido km hora litro km horas rodadas intervalo tipo venda opcao pagamento simples nacional unidade condutor subunidade condutor origem dt dtca,logistica
b prime abastecimentos abastecimentos v1 29 data hora km km anterior numero cartao combustivel qtde combustivel abastecido valor abastecimento cidade posto nome posto endereco posto matricula condutor nome condutor unidade sub unidade modelo placa prefixo marca renavam ano capacidade tanque chassi cor motorizacao cidade veiculo centro custo origem dt dtca,logistica
b prime abastecimentos abastecimentos v2 39 cod venda data horario prefixo veiculo placa unidade subunidade combustivel condutor matricula registro posto estado endereco posto cidade tipo frota marca modelo veiculo tipo veiculo ano veiculo cidade veiculo cnpj posto temporario km horimetro qtde litro preco unitario valor bruto negociacao posto preco unitario liquido km hora litro km horas rodadas intervalo tipo venda opcao pagamento simples nacional unidade condutor subunidade condutor origem dt dtca,logistica
b prime abastecimentos abastecimentos v3 40 cod venda data horario prefixo veiculo placa unidade subunidade combustivel condutor matricula registro posto estado endereco posto cidade tipo frota marca modelo veiculo tipo veiculo ano veiculo cidade veiculo cnpj posto temporario km horimetro qtde litro preco unitario negociacao posto valor bruto preco unitario liquido km hora litro km horas rodadas intervalo tipo venda opcao pagamento simples nacional unidade condutor subunidade condutor origem dt dtca hs diff,logistica
b receitafed cnpj cnae 4 codigo descricao orig dtca,pessoas
b receitafed cnpj dados simples 9 cnpj basico opcao simples data opcao simples data exclusao simples opcao mei data opcao mei data exclusao mei orig dtca,pessoas
b receitafed cnpj empresa 9 cnpj basico nome empresarial natureza juridica qualificacao responsavel capital social porte empresa ente federativo responsavel orig dtca,pessoas
b receitafed cnpj estabelecimento 32 cnpj basico cnpj ordem cnpj dv identificador matriz filial nome fantasia situacao cadastral data situacao cadastral motivo situicao cadastral nome cidade exterior pais data inicio atividade cnae principal cnae secundaria tipo logradouro logradouro numero complemento bairro cep uf municipio ddd1 telefone1 ddd2 telefone2 ddd fax fax email situacao especial data situacao especial orig dtca,pessoas
b receitafed cnpj municipio 4 codigo descricao orig dtca,pessoas
b receitafed cnpj natureza juridica 4 codigo descricao orig dtca,pessoas
b receitafed cnpj pais 4 codigo descricao orig dtca,pessoas
b receitafed cnpj qualificacao socio 4 codigo descricao orig dtca,pessoas
b receitafed cnpj socio 13 cnpj basico identificador socio nome socio cnpj cpf socio qualificacao socio data entrada sociedade pais representante legal nome representante qualificacao representante faixa etaria orig dtca,pessoas
b sefaz fiplan acwta0003 55 cd exercicio cd unidade orcamentaria ds unidade orcamentaria flg tipo adm cd unidade gestora ds unidade gestora numr conta corrente codg dotacao orcamentaria uo dotacao orcamentaria cd funcao ds funcao cd paoe ds paoe cd programa governo ds programa governo cd subfuncao ds subfuncao cd regional ds regional cd natureza despesa cd modalidade aplicacao cd fonte recurso flg tipo recurso mes lancamento contra partida recurso orcamentario flg tp poder dotacao inicial dotacao suplementar dotacao especial dotacao extraordinaria credito remanejamento reducao dot orc reserva empenho credito contingenciamento credito disponivel emissao empenho despesa liquidada credito empenhado liquidar credito empenhado pago credito empenhado liquidado dotacao suplementar add reducao dot orc add destaque recebido destaque concedido dotacao acrescimo 2011 reducao dot modal dotacao suplementar 2011 dotacao especial 2011 dotacao extraordinaria 2011 credito remanejamento 2011 credito disponivel 2011 uo ds dotacao orcamentaria orig dtca,financeiro
b sefaz fiplan acwtb0010 16 codg modalidade licitacao nome modalidade iden versao data atualizacao data cadastro flag situacao iden modalidade licitacao cd exercicio flag licitacao flag fundamento legal flag base legal flag pregao flag isencao flag contrato orig dtca,financeiro
b sefaz fiplan acwtb0024 20 iden credor flag tipo credor ramo atividade data cadastro data atualizacao flag fatura cheque iden versao id usuario flag situacao nome raz social cpf cnpj flag fisco estadual iden categoria credor flag liberacao qsa flag consignacao folha flag aprovacao sefaz flag mandado judicial hist categoria credor orig dtca,financeiro
b sefaz fiplan acwtb0025 17 iden credor pessoa juridica id unidade gestora iden pessoa juridica iden credor iden versao flag tipo consignataria flag consignataria flag cheque devolvido data cadastro data atualizacao flag pensao alimenticia flag participacao orcamento flag restricao uso flag nivel relacionamento flag credor uo orig dtca,financeiro
b sefaz fiplan acwtb0027 56 numr ped cd exercicio data ped valr ped flag tipo empenho flag tipo recurso orcamentario data autorizacao id dotacao orcamentaria data cadastro historico ped flag tipo despesa saldo orcamentario anterior iden ordenador despesa ug iden pad natureza despesa numr cac iden credor lista iden transacao contabil iden amparo legal iden versao id usuario flag situacao codg modalidade licitacao iden credor data atualizacao numr protocolo flag fisco estadual cd exercicio protocolo flag convenio numr processo siag numr os id elemento despesa data cadastro autorizacao data licitacao flag licitacao exercicio ant flag licitacao adesao siag numr licitacao ano licitacao flag entr imed l8666 93 a62 i4 flag contrato justif desp sem cobert contrat flag base legal mes folha pagto iden modalidade licitacao iden abj natureza numr emenda parlamentar autor emenda parlamentar ano emenda parlamentar flag obrig patronal flag tipo obrig patronal cd exercicio folha pagto sigla processo sigadoc especie documento sigadoc cd exercicio processo numr processo orig dtca,financeiro
b sefaz fiplan acwtb0030 29 numr pad cd exercicio flag tipo adiantamento data pad data limite aplicacao recurso data aprovacao data autorizacao data limite prestacao contas historico pad data cadastro id unidade gestora iden credor iden gerente responsavel flag situacao iden transacao contabil iden ordenador despesa ug iden amparo legal id usuario iden versao data cancelamento data atualizacao iden credor lista flag base legal iden subtipo despesa numr cartao pag governo flag cad integrada numr adiantamento sicad orig dtca,financeiro
b sefaz fiplan acwtb0046 9 iden conta bancaria ug id unidade gestora flag situacao iden versao iden conta bancaria uo data cadastro data atualizacao orig dtca,financeiro
b sefaz fiplan acwtb0050 11 iden pad natureza despesa valr adiantamento flag prestacao contas numr pad id natureza despesa iden versao numr bad data cadastro data atualizacao orig dtca,financeiro
b sefaz fiplan acwtb0070 16 iden objeto nome objeto desc objeto data cadastro autor objeto flag situacao nome vo data atualizacao desc resumida nome ded flag tipo objeto flag trigger flag trigger enable data trigger enable orig dtca,financeiro
b sefaz fiplan acwtb0091 10 iden liq subelemento valr liq subelemento numr liq id subelemento despesa iden versao data cadastro data atualizacao percentual ref orig dtca,financeiro
b sefaz fiplan acwtb0107 32 numr emp cd exercicio data cadastro data emp flag situacao numr convenio historico emp flag transf restos pagar iden transacao contabil numr ped id usuario iden versao iden credor iden ordenador despesa ug valr emp exercicio rp flag irp data atualizacao iden conta bancaria iden finalidade numr ope flag despesas processamento numr licitacao ano licitacao id fonte recurso numr rpv cd exercicio rpv flag rpv vencidos iden contrato uuid emp saff orig dtca,financeiro
b sefaz fiplan acwtb0109 62 numr nob cd exercicio data cadastro data nob data ocorrencia data retorno codg retorno valr nob observacao historico nob numr arquivo lote numr arquivo retorno numr relacao pagamento flag situacao flag transmissao flag regularizacao pagamento flag transmissao eletronica iden pagamento liq iden transacao contabil id usuario iden versao data atualizacao data autoriz estorno nob bb id usuario autoriz nob bb flag autoriz estorno nob bb numr obf iden subconta ug iden conta bancaria ug flag nob fatura fato54 tipo ob historico autoriza estorno nob data debito flag re contabilizada flag tipo transmissao flag forma recebimento iden conta corrente credor saldo contabilizado iden agencia bancaria nota mt numr conta corrente nota mt dv cc nota mt flag depju identif depju codg retorno cnab iden agencia bancaria cad numr conta cad data credito dv conta cad qtd dias eficiencia flag nivel eficiencia numr sequencial portador numr arquivo lote cpg data ocorrencia cpg numr arquivo retorno cpg data retorno cpg codg retorno cpg observacao retorno cpg flag sit transmissao cpg iden conta bancaria uo tf numr pac uuid nob saff orig dtca,financeiro
b sefaz fiplan acwtb0110 65 numr liq cd exercicio historico liq data liq data cadastro valr liq valr total consignacoes valr credor principal valr saldo liquidar valr cpmf valr limite prestacao contas numr contrato flag situacao flag forma pagamento flag liquidacao escritural flag liquidacao consignacoes id usuario numr emp id elemento despesa iden transacao contabil iden versao data atualizacao iden ordenador despesa ug flag liquidacao integrada seap numr os numr rip data autoriz estorno liq flag autoriz estorno liq id usuario autoriz liq valr saldo empenhado liquidaca numr medicao ano contrato obra iden tipo medicao numr contrato ant historico complementar liq flag detalhamento despesa ele numero medicao despesa gfo tipo medicao gfo codigo vinculacao gfo flag parcelada cd exerc proc financ pagto numr processo financ pagto flag tipo registro sorteio flag liq doc fiscal numr processo judicial flag bloqueio ineficiencia flag aut lib inef data aut lib inef data aut lib sace id usuario lib inef id usuario lib sace numr sumula condes justificativa inef qtd dias eficiencia flag nivel eficiencia periodo comp despesa flag prestador pfpj flag cat ordem cronologica flag sit ordem cronologica sigla processo sigadoc especie documento sigadoc cd exercicio processo numr processo orig dtca,financeiro
b sefaz fiplan acwtb0111 75 iden pagamento liq iden versao data vencimento data liberacao valr pagamento flag tipo pagamento flag forma recebimento flag regularizacao pagamento flag situacao pagamento liquid flag transmissao numr liq iden conta corrente credor iden subconta ug iden conta bancaria ug iden liberador ordenador ug id usuario iden credor data cadastro data atualizacao valr rubrica normal valr rubrica diferenca valr rubrica devolucao flag pagto estrategico flag liberacao sefaz data liberacao sefaz id usuario lib sefaz data vencimento fatura codg barra numr autenticacao exercicio competencia mes competencia periodo apuracao numr referencia valr documento valr desconto valr multa valr outras entidades valr receita bruta valr juros percentual receita bruta codg contribuinte nome contribuinte flag tipo contribuinte flag tipo fatura flag subtipo fatura iden tributo federal iden pagamento liq origem numr nex cd exercicio flag depju identif depju iden chave exclusao iden finalidade valr original iden parcelamento liq origem iden chave parcelamento flag tipo cancelamento ug gru gestao gru iden credor nota mt iden agencia bancaria nota mt numr conta corrente nota mt dv cc nota mt flag tipo conta iden agencia bancaria cad numr conta cad flag compensacao dv conta cad iden conta bancaria tf iden pred ordem cron iden pred ordem cron ori codg qrcode pix iden info arquivo orig dtca,financeiro
b sefaz fiplan acwtb0261 37 numr os cd exercicio localidade motivo data inicio viagem data retorno viagem data prestacao contas qtde diarias metas previstas resultados obtidos flag situacao id unidade gestora iden credor data cadastro data atualizacao iden versao flag status id usuario id usuario prest contas flag desconto folha valr os numr documento flag situacao gcv numr os gv flag tipo motorista id unidade orcamentaria do id programa governo id paoe id fonte recurso id elemento despesa cpf ordenador despesa codg banco codg agencia bancaria numr conta corrente dv conta corrente orig dtca,financeiro
b sefaz fiplan acwtb0274 11 iden equivalencia uo seap setor iden versao flag folha especial id unidade orcamentaria orgao seap data cadastro data atualizacao cd exercicio orig dtca,financeiro
b sefaz fiplan acwtb0410 15 iden categoria credor codg categoria credor flag tipo cadastro nome categoria credor flag nivel relacionamento data cadastro data atualizacao iden versao flag preenche nome fantasia flag preenche natureza flag preenche iss flag preenche uo ug flag orgao entidade publica orig dtca,entidade
b sefaz fiplan acwtb0550 11 iden pacote despesa cd exercicio cd pacote despesa ds pacote despesa ds sigla pacote id usuario inclusao data cadastro iden versao data atualizacao orig dtca,financeiro
b sefaz fiplan acwtb0552 8 iden pacote despesa subelemen iden pacote despesa id subelemento despesa data cadastro iden versao data atualizacao orig dtca,financeiro
b sefaz fiplan acwtb0579 14 iden subtipo despesa cd exercicio iden tipo despesa codg subtipo despesa nome subtipo despesa flag servicos pf id usuario data cadastro data atualizacao iden versao flag situacao flag poder executivo orig dtca,financeiro
b sefaz fiplan acwtb0689 9 iden nob subelemento numr nob iden liq subelemento valr nob subelemento data cadastro data atualizacao iden versao orig dtca,financeiro
b sefaz fiplan dotacao orcamentaria 42 id dotacao orcamentaria cd exercicio id unidade orcamentaria id funcao id subfuncao id programa governo id paoe id unidade gestora id regional flg esfera id natureza despesa id fonte recurso id identificador contra part vl proposto vl projeto lei vl orcado inicial vl suplementado vl anulado vl reservado vl empenhado vl liquidado vl pago vl bloqueado id versao flag tipo recurso orcamentario valr dotacao recebida valr dotacao concedida valr contingenciamento reserva codg dotacao orcamentaria data cadastro data atualizacao id dotacao origem valr limite antecipacao ploa valr antecipar ploa flag aprovacao seplan id usuario aprovacao seplan id usuario aprovacao sefaz data aprovacao seplan id dotacao extinta cd exercicio extincao orig dtca,financeiro
b sefaz fiplan elemento despesa 30 id elemento despesa cd elemento despesa ds elemento despesa ds sigla id versao cd exercicio flg ind contratos flg ind inf nota fiscal flg ind aval flg ind desembolso mes pta flg elemento patrimonial flg ind regionalizacao pta flag despesa exerc anteriores flag situacao flag tipo contrato flag formalizacao op credito flg ind elemento patrimonial data cadastro data atualizacao flag integracao sigpat flag integracao siag flag led flag docto fiscal flag docto contrato flag docto processo flag pta con teto des pri cor flag desdobra vpd se flag ordem cronologica orig dtca,financeiro
b sefaz fiplan fonte recurso 28 id fonte recurso cd fonte recurso ds fonte recurso ds sigla flg vinculada flg ativo flg tipo recurso flg func fonte id versao cd exercicio flag concessao orcamentaria flag planejamento data cadastro data atualizacao flag aprovacao sefaz flag crd flag concessao financeira flag exercicio anterior id frecurso exercicio ant flag teto financeiro flag fonte recurso sucessora iden fonte recurso siconfi flag pta con teto des pri cor iden marcador fonte flag regionalizacao flag perm anul rec super orig dtca,financeiro
b sefaz fiplan funcao 10 id funcao cd funcao ds funcao ds sigla id versao cd exercicio data cadastro data atualizacao orig dtca,financeiro
